지역,지점,게임명,난이도,인원,게임시간,설명영상,키워드
서울,신촌,세븐원더스 : 듀얼,Extreme,2인,60분,아니오,셋컬렉션
서울,신촌,도블,Easy,2-5인,10분,예,순발력
서울,신촌,데어이쎄스,Easy,2인,5분,예,심리추리
서울,신촌,데드오브윈터,ProGamer,2-5인,100분,아니오,미션협력
서울,신촌,더게임,Normal,2-5인,20분,예,숫자협력
서울,신촌,달무티,Hard,5-8인,20분,예,선잡기
서울,신촌,닥터유레카,Easy,2-4인,15분,아니오,순발력
서울,신촌,다빈치코드,Easy,2-4인,20분,예,숫자추리
서울,신촌,노땡스,Normal,3-7인,20분,예,카드경매
서울,신촌,고스트,Easy,2인,10분,예,심리전략
서울,신촌,개조심,Very Easy,2-5인,5분,예,손기술
서울,신촌,딕싯 : 예지,Normal,4-6인,20분,예,그림연상
서울,신촌,딕싯 : 메모리즈,Normal,4-6인,20분,예,그림연상
서울,신촌,드렉사우,Easy,2-4인,10분,아니오,카드전략
서울,신촌,렉시오,Very Hard,3-5인,30분,예,조합전략
서울,신촌,레지스탕스:쿠,Hard,3-6인,15분,예,블러핑
서울,신촌,레지스탕스 아발론,Very Hard,6-10인,40분,예,마피아
서울,신촌,시퀀스,Easy,4-12인,10분,예,카드빙고
서울,신촌,러시아워쉬프트,Easy,2인,15분,아니오,퍼즐해독
서울,신촌,러시아워,Normal,1-2인,45분,아니오,퍼즐해독
서울,신촌,러브레터,Normal,3-4인,20분,예,카드추론
서울,신촌,라온,Easy,2-4인,10분,예,타일조합
서울,신촌,라스베가스,Normal,3-7인,35분,예,전략배팅
서울,신촌,라비린스,Normal,2-4인,20분,아니오,미로전략
서울,신촌,라보카,Normal,4인,40분,아니오,협동퍼즐
서울,신촌,딕싯 : 퀘스트,Normal,4-6인,20분,예,그림연상
서울,신촌,루핑루이,Very Easy,2-4인,10분,예,타이밍
서울,신촌,루미큐브,Normal,2-6인,30분,예,타일조합
서울,신촌,시타델,Very Hard,4-7인,60분,예,심리전략
서울,신촌,로보77,Easy,2-6인,30분,예,숫자연산
서울,신촌,모던아트,Hard,4-5인,45분,예,경매
서울,신촌,모노폴리,Normal,2-8인,180분,아니오,투자경영
서울,신촌,나방속이기 (장난꾸러기 나방),Normal,4-5인,20분,아니오,눈치전략
서울,신촌,맨해튼,Hard,4인,45분,아니오,영향력
서울,신촌,마헤,Normal,4-7인,30분,예,경주배팅
서울,신촌,서바이브,Hard,2-4인,60분,아니오,타일전략
서울,신촌,마법의미로,Easy,2-4인,20분,예,길기억
서울,신촌,마라케시,Normal,2-4인,30분,아니오,이동전략
