storeId,area,location,numOfTaken,numOfUntaken,numOfMonthlyGames,diversity_score,supply_score
0,서울,신촌,412,665,11,68.6403,63.1895
1,서울,신림,365,712,11,54.2291,60.5441
2,서울,대학로,424,653,11,51.8165,63.8649
3,서울,강남,406,671,11,76.9817,62.8518
4,서울,노원,346,731,11,52.1175,59.4747
5,서울,홍대,294,783,11,49.8983,56.5478
6,서울,잠실새내,313,764,11,52.7229,57.6173
7,서울,연신내,345,732,11,69.6874,59.4184
8,서울,강남2호,340,737,11,51.1789,59.137
9,서울,수유역,310,767,11,52.1574,57.4484
10,서울,이수역,346,731,11,51.6104,59.4747
11,서울,마곡발산역,305,772,11,68.8062,57.167
12,서울,한양대,381,696,11,75.6697,61.4447
13,서울,서울대입구역,323,754,11,50.7089,58.1801
14,서울,성신여대,322,755,10,69.4021,54.4875
15,서울,성수,300,777,11,50.2116,56.8856
16,서울,종로,372,705,11,50.8233,60.9381
17,서울,인시네마강남,306,771,11,49.8445,57.2233
18,서울,방이,291,786,11,50.9958,56.379
19,서울,영등포,312,765,11,50.4373,57.561
20,서울,강남논현,515,562,11,85.3683,68.9869
21,서울,압구정로데오,278,799,11,49.4312,55.6473
22,서울,망원역,348,729,11,67.5369,59.5872
23,서울,오목교,277,800,11,69.7177,55.591
24,서울,천호로데오,281,796,11,69.3693,55.8161
25,서울,둔촌역,278,799,11,69.295,55.6473
26,서울,미아사거리,273,804,11,69.9674,55.3659
27,경기,서현,549,528,11,74.0387,70.9006
28,경기,안산,402,675,11,54.2904,62.6266
29,경기,범계,397,680,11,69.633,62.3452
30,경기,수원,391,686,11,53.6773,62.0075
31,경기,부천,396,681,11,69.845,62.2889
32,경기,영통,407,670,10,67.8178,59.2717
33,경기,안양,396,681,11,69.3116,62.2889
34,경기,산본,371,706,11,70.4906,60.8818
35,경기,화정,321,756,11,81.255,58.0675
36,경기,아주대,330,747,10,71.1949,54.9377
37,경기,평택역,381,696,11,96.3942,61.4447
38,경기,웨스턴,302,775,11,51.4068,56.9981
39,경기,용인동백,290,787,9,51.9525,49.05
40,경기,철산,315,762,11,50.8055,57.7298
41,경기,수원인계,331,746,10,50.9803,54.994
42,경기,동탄북광장,316,761,11,53.2309,57.7861
43,경기,용인보정,329,748,11,52.5307,58.5178
44,경기,부천시청,337,740,11,50.0245,58.9681
45,경기,구리돌다리,416,661,11,88.7776,63.4146
46,경기,김포구래,310,767,11,67.9297,57.4484
47,경기,수지구청역,313,764,11,68.3301,57.6173
48,경기,미금역,313,764,11,68.4905,57.6173
49,경기,오산시청,318,759,11,51.0448,57.8987
50,경기,의정부민락,521,556,11,64.7206,69.3246
51,경기,평택소사벌,293,784,8,50.3113,45.5825
52,경기,광명하안,295,782,11,51.2557,56.6041
53,경기,파주야당,337,740,11,50.9294,58.9681
54,경기,수원행궁,289,788,11,50.2921,56.2664
55,경기,용인역북,317,760,10,50.4496,54.206
56,경기,안산고잔,281,796,11,50.1134,55.8161
57,경기,다산신도시,271,806,11,48.9561,55.2533
58,경기,하남미사,270,807,11,70.776,55.197
59,경기,시흥정왕,278,799,10,69.4574,52.0109
60,경기,평내호평,274,803,11,69.9793,55.4221
61,인천,부평,485,592,11,74.4821,67.2983
62,인천,구월,433,644,10,65.8354,60.7351
63,인천,부평테마의거리,383,694,11,68.0114,61.5572
64,인천,인천논현,289,788,11,50.4468,56.2664
65,인천,인천검단신도시,322,755,11,51.3046,58.1238
66,인천,인천청라,411,666,11,66.3816,63.1332
67,충청,천안,386,691,11,53.1905,61.7261
68,충청,청주터미널,313,764,11,51.5382,57.6173
69,충청,청주성안길,288,789,11,52.2335,56.2101
70,대전,대전은행,380,697,11,69.4269,61.3884
71,대전,대전충남,360,717,11,51.2735,60.2627
72,대전,둔산,307,770,11,69.1738,57.2795
73,대구,동성로,473,604,11,65.7911,66.6229
74,대구,동성로2호,417,660,11,68.5148,63.4709
75,대구,광장코아,255,822,10,51.3147,50.7164
76,대구,계명대,277,800,11,53.0379,55.591
77,경상,창원상남,358,719,11,51.9144,60.1501
78,경상,경남대,295,782,11,51.4745,56.6041
79,경상,거제고현,318,759,11,50.964,57.8987
80,전라,전북대,326,751,11,70.7158,58.349
81,전라,여수학동,292,785,11,52.7906,56.4353
82,전라,순천호수공원,263,814,11,48.8291,54.803
83,전라,목포평화광장,279,798,11,69.2524,55.7036
84,울산,울산삼산,418,659,11,77.3553,63.5272
85,울산,울산성남,324,753,11,51.5941,58.2364
86,울산,울산일산지,246,831,11,49.9267,53.8462
87,광주,광주충장로,371,706,10,53.469,57.2454
88,광주,전남대,289,788,11,51.6629,56.2664
89,광주,광주수완,319,758,11,68.9511,57.955
90,광주,광주첨단,293,784,11,69.762,56.4916
91,광주,광주상무,409,668,11,66.8301,63.0206
92,광주,광주진월,293,784,11,68.6099,56.4916
93,부산,서면,356,721,11,69.1141,60.0375
94,부산,경성대,370,707,11,52.9307,60.8255
95,부산,남포,366,711,11,69.1697,60.6004
96,부산,서면2호,379,698,11,68.3687,61.3321
97,부산,부산아트몰링하단,297,780,11,50.1113,56.7167
98,부산,부산덕천,344,733,11,50.1622,59.3621
99,부산,부산대,460,617,11,84.7163,65.8912
100,부산,부산사상,332,745,11,50.7,58.6867
101,부산,광안리,300,777,11,49.6052,56.8856
102,부산,부산동래,322,755,11,69.2151,58.1238
103,제주,제주시청,297,780,10,51.754,53.0803
